idStudent,idClass,mark,idSubject
180001,3001,6,1301
180002,3002,7.5,1302
180003,3003,5,1303
180004,3004,7.5,1304
180005,3005,6,1305
180006,3006,7,1306
180007,3007,5.5,1307
180008,3008,3.5,1308
180009,3009,6.5,1309
180010,3010,6.5,1310
180011,3011,9.5,1311
180012,3012,5,1312
180013,3013,1,1313
180014,3014,6.5,1314
180015,3015,7,1315
180016,3016,1,1316
180017,3017,3,1317
180018,3018,0,1318
180019,3019,7.5,1319
180020,3020,5.5,1320
180021,3021,2.5,1321
180022,3022,1,1322
180023,3023,6,1323
180024,3024,5,1324
180025,3025,5.5,1325
180026,3026,10,1326
180027,3027,3,1327
180028,3028,4.5,1328
180029,3029,4.5,1329
180030,3030,6,1330
180031,3031,7,1331
180032,3032,2,1332
180033,3033,9.5,1333
180034,3034,8.5,1334
180035,3035,9.5,1335
180036,3036,9,1336
180037,3037,6,1337
180038,3038,7.5,1338
180039,3039,3.5,1339
180040,3040,4,1340
180041,3041,5,1341
180042,3042,0,1342
180043,3043,3,1343
180044,3044,2.5,1344
180045,3045,8.5,1345
180046,3046,7.5,1346
180047,3047,9,1347
180048,3048,4,1348
180049,3049,7.5,1349
180050,3050,7.5,1350
180051,3051,4,1351
180052,3052,2.5,1352
180053,3053,2,1353
180054,3054,8,1354
180055,3055,2.5,1355
180056,3056,7,1356
180057,3057,2.5,1357
180058,3058,4,1358
180059,3059,8,1359
180060,3060,8,1360
180061,3061,8,1361
180062,3062,2,1362
180063,3063,1,1363
180064,3064,8.5,1364
180065,3065,3,1365
180066,3066,5,1366
180067,3067,8.5,1367
180068,3068,8.5,1368
180069,3069,10,1369
180070,3070,8,1370
180071,3071,4.5,1371
180072,3072,10,1372
180073,3073,2,1373
180074,3074,6,1374
180075,3075,2.5,1375
180076,3076,2.5,1376
180077,3077,5,1377
180078,3078,3.5,1378
180079,3079,6.5,1379
180080,3080,3.5,1380
180081,3081,9.5,1381
180082,3082,8.5,1382
180083,3083,2.5,1383
180084,3084,8.5,1384
180085,3085,9,1385
180086,3086,7,1386
180087,3087,3,1387
180088,3088,5.5,1388
180089,3089,9.5,1389
180090,3090,6,1390
180091,3091,0,1391
180092,3092,5,1392
180093,3093,8.5,1393
180094,3094,2.5,1394
180095,3095,6,1395
180096,3096,5,1396
180097,3097,5.5,1397
180098,3098,6,1398
180099,3099,0,1399
180100,3100,4,1400
180101,3101,3.5,1401
180102,3102,7.5,1402
180103,3103,10,1403
180104,3104,4,1404
180105,3105,3,1405
180106,3106,4,1406
180107,3107,4,1407
180108,3108,2,1408
180109,3109,1,1409
180110,3110,6,1410
180111,3111,10,1411
180112,3112,10,1412
180113,3113,5.5,1413
180114,3114,5.5,1414
180115,3115,3,1415
180116,3116,5,1416
180117,3117,9,1417
180118,3118,0,1418
180119,3119,0,1419
180120,3120,5,1420
180121,3121,7.5,1421
180122,3122,4.5,1422
180123,3123,9.5,1423
180124,3124,10,1424
180125,3125,4.5,1425
180126,3126,3,1426
180127,3127,2,1427
180128,3128,3.5,1428
180129,3129,9,1429
180130,3130,5.5,1430
180131,3131,8.5,1431
180132,3132,6.5,1432
180133,3133,3.5,1433
180134,3134,5.5,1434
180135,3135,3.5,1435
180136,3136,3.5,1436
180137,3137,7,1437
180138,3138,9,1438
180139,3139,6.5,1439
180140,3140,2,1440
180141,3141,1,1441
180142,3142,2,1442
180143,3143,9.5,1443
180144,3144,4.5,1444
180145,3145,4,1445
180146,3146,3,1446
180147,3147,5.5,1447
180148,3148,3.5,1448
180149,3149,3,1449
180150,3150,6,1450
180151,3151,7,1451
180152,3152,9,1452
180153,3153,0,1453
180154,3154,0,1454
180155,3155,5.5,1455
180156,3156,8.5,1456
180157,3157,6,1457
180158,3158,7,1458
180159,3159,3.5,1459
180160,3160,10,1460
180161,3161,8.5,1461
180162,3162,10,1462
180163,3163,3,1463
180164,3164,4.5,1464
180165,3165,10,1465
180166,3166,6,1466
180167,3167,2,1467
180168,3168,6,1468
180169,3169,6.5,1469
180170,3170,9.5,1470
180171,3171,2,1471
180172,3172,6.5,1472
180173,3173,5,1473
180174,3174,6,1474
180175,3175,7.5,1475
180176,3176,4,1476
180177,3177,4.5,1477
180178,3178,8,1478
180179,3179,9,1479
180180,3180,8.5,1480
180181,3181,7,1481
180182,3182,6.5,1482
180183,3183,10,1483
180184,3184,7,1484
180185,3185,0,1485
180186,3186,6.5,1486
180187,3187,2,1487
180188,3188,1,1488
180189,3189,8,1489
180190,3190,9.5,1490
180191,3191,10,1491
180192,3192,0,1492
180193,3193,6,1493
180194,3194,8.5,1494
180195,3195,9,1495
180196,3196,4,1496
180197,3197,9.5,1497
180198,3198,6.5,1498
180199,3199,10,1499
180200,3200,1,1500
180201,3201,5.5,1301
180202,3202,9.5,1302
180203,3203,4,1303
180204,3204,5.5,1304
180205,3205,8,1305
180206,3206,3,1306
180207,3207,10,1307
180208,3208,7.5,1308
180209,3209,4.5,1309
180210,3210,8,1310
180211,3211,7.5,1311
180212,3212,5.5,1312
180213,3213,8,1313
180214,3214,2.5,1314
180215,3215,7.5,1315
180216,3216,8.5,1316
180217,3217,8.5,1317
180218,3218,5,1318
180219,3219,7.5,1319
180220,3220,8,1320
180221,3221,8.5,1321
180222,3222,3.5,1322
180223,3223,7.5,1323
180224,3224,4.5,1324
180225,3225,4,1325
180226,3226,8,1326
180227,3227,10,1327
180228,3228,9.5,1328
180229,3229,7.5,1329
180230,3230,8.5,1330
180231,3231,8,1331
180232,3232,8.5,1332
180233,3233,9,1333
180234,3234,6,1334
180235,3235,1,1335
180236,3236,6,1336
180237,3237,2,1337
180238,3238,7,1338
180239,3239,3.5,1339
180240,3240,4,1340
180241,3241,9.5,1341
180242,3242,8,1342
180243,3243,8.5,1343
180244,3244,4.5,1344
